Issue Key,Summary,Issue Type,Fix Version,Epic Link,Epic Name,Priority,Assignee Persona,Labels,Acceptance Criteria,Evidence Required,Description
S00-E01,S00-E01 — Problem definition and opportunity sizing,Epic,S00 Ideation & Business Case,,S00-E01,P3,Rajal,stage-s00 lifecycle-epic,,,Epic of stage S00 (Ideation & Business Case). See docs/application-lifecycle-bible/stages/.
S00-E01-S01,S00-E01-S01 — Articulate the as-is problem with evidence,Story,S00 Ideation & Business Case,S00-E01,,P3,Rajal,stage-s00 lifecycle-story,Current-state process documented; the specific business loss named (post-redirect blindness); quantified where data exists,,Current-state process documented; the specific business loss named (post-redirect blindness); quantified where data exists
S00-E01-S02,S00-E01-S02 — Size the opportunity,Story,S00 Ideation & Business Case,S00-E01,,P3,Rajal,stage-s00 lifecycle-story,Addressable customer base by segment; attach-rate assumptions stated as assumptions; revenue range with a stated confidence,,Addressable customer base by segment; attach-rate assumptions stated as assumptions; revenue range with a stated confidence
S00-E01-S03,S00-E01-S03 — Define the target outcome,Story,S00 Ideation & Business Case,S00-E01,,P3,Rajal,stage-s00 lifecycle-story,"3–5 outcome statements, each measurable; each has a baseline and a target date",,"3–5 outcome statements, each measurable; each has a baseline and a target date"
S00-E01-S04,S00-E01-S04 — Identify the alternatives considered,Story,S00 Ideation & Business Case,S00-E01,,P3,Rajal,stage-s00 lifecycle-story,"At least two alternatives (buy, partner, extend legacy) with why each was not chosen",,"At least two alternatives (buy, partner, extend legacy) with why each was not chosen"
S00-E02,S00-E02 — Regulatory and licence viability,Epic,S00 Ideation & Business Case,,S00-E02,P3,Shailja,stage-s00 lifecycle-epic,,,Epic of stage S00 (Ideation & Business Case). See docs/application-lifecycle-bible/stages/.
S00-E02-S01,S00-E02-S01 — Confirm the activity is within licence,Story,S00 Ideation & Business Case,S00-E02,,P3,Shailja,stage-s00 lifecycle-story,"Licence number, class, and permitted activities cited; open-architecture multi-insurer distribution confirmed permissible",,"Licence number, class, and permitted activities cited; open-architecture multi-insurer distribution confirmed permissible"
S00-E02-S02,S00-E02-S02 — Identify showstopper obligations,Story,S00 Ideation & Business Case,S00-E02,,P3,Shailja,stage-s00 lifecycle-story,"Any obligation that would make the concept unviable is surfaced now, not at S12",,"Any obligation that would make the concept unviable is surfaced now, not at S12"
S00-E02-S03,S00-E02-S03 — Confirm data-handling viability,Story,S00 Ideation & Business Case,S00-E02,,P3,Shailja,stage-s00 lifecycle-story,"Categories of regulated data identified at concept level (PII, financial, health); residency constraint stated",,"Categories of regulated data identified at concept level (PII, financial, health); residency constraint stated"
S00-E03,S00-E03 — Business case and funding,Epic,S00 Ideation & Business Case,,S00-E03,P3,Sponsor + Rajal,stage-s00 lifecycle-epic,,,Epic of stage S00 (Ideation & Business Case). See docs/application-lifecycle-bible/stages/.
